0	751386	187
1	739293	369
2	736184	552
3	729920	730
4	730234	913
5	730536	1097
6	736865	1291
7	735804	1474
8	737470	1663
9	736380	1845
10	736795	2031
11	735514	2213
12	735206	2397
13	733416	2575
14	732743	2758
15	732752	2942
16	733155	3129
17	732558	3311
18	731933	3493
19	732366	3680
20	732490	3865
21	732796	4052
22	732615	4236
23	732403	4420
24	732128	4604
25	731993	4789
26	731482	4971
27	731686	5157
28	731093	5339
29	730768	5522
30	731323	5712
31	731152	5896
32	731157	6082
33	730773	6264
34	730646	6449
35	730681	6635
36	730278	6818
37	730250	7003
38	730329	7190
39	730103	7374
40	729886	7558
41	729435	7740
42	729279	7924
43	729589	8114
44	729167	8296
45	728947	8480
46	728940	8666
47	728557	8848
48	728449	9034
49	728758	9224
50	728492	9408
51	728626	9596
52	728469	9781
53	728084	9963
54	728516	10156
55	728218	10339
56	728225	10527
57	728243	10714
58	727811	10895
59	727698	11081
60	727678	11268
61	727828	11458
62	727860	11647
63	727843	11834
64	727750	12021
65	727707	12208
66	727531	12393
67	727756	12585
68	727517	12769
69	727139	12951
70	726961	13136
71	726941	13324
72	727143	13517
73	726957	13702
74	726956	13890
75	727032	14081
76	726829	14266
77	726527	14449
78	726752	14642
79	726509	14826
80	726356	15012
81	726249	15199
82	726492	15394
83	726057	15574
84	725799	15758
85	726004	15952
86	725773	16136
87	725576	16321
88	725607	16512
89	725573	16701
90	725302	16884
91	724956	17066
92	724831	17253
93	724852	17443
94	724670	17629
95	724655	17819
96	724500	18005
97	724376	18192
98	724267	18380
99	724159	18568
100	723848	18750
101	723772	18939
102	723599	19125
103	723693	19318
104	723503	19503
105	723560	19696
106	723436	19883
107	723235	20069
108	723237	20260
109	723047	20446
110	722829	20631
111	722428	20810
112	722339	20999
113	722124	21184
114	722229	21378
115	721928	21561
116	721782	21748
117	721700	21937
118	721472	22121
119	721308	22308
120	721225	22497
121	721045	22683
122	720800	22867
123	720513	23050
124	720333	23236
125	720300	23427
126	720056	23611
127	719794	23794
128	719693	23983
129	719488	24168
130	719276	24353
131	719110	24540
